entry_time,exit_time,type,signal_type,entry_price,exit_price,qty,leverage,initial_margin_used,entry_fee,exit_fee,fees_total,pnl_gross,pnl_net,exit_reason
2021-01-11 17:30:00+00:00,2021-01-11 21:00:00+00:00,SHORT,downtrend_breakdown,2.7584722100000003,2.95708686,17219.676829733224,5.0,9500.0,29.6875,31.82505005415661,61.512550054156605,-3420.0800866505683,-3481.592636704725,stop_loss
2021-01-22 00:30:00+00:00,2021-01-22 00:30:00+00:00,SHORT,downtrend_breakdown,2.81225607,2.75683775188458,11009.820658206474,5.0,6192.486995130511,19.351521859782846,18.970180770013965,38.32170262979681,610.1457436302113,571.8240410004146,target
2021-02-16 19:00:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.22613142,8.064027274237478,4094.0993342900574,5.0,6735.719834080905,21.049124481502826,20.634330434470332,41.68345491597316,663.6704752519973,621.9870203360241,target
2021-02-26 00:00:00+00:00,2021-02-26 00:30:00+00:00,SHORT,downtrend_breakdown,13.84474533,13.57192077852702,2645.9885424992963,5.0,7326.607503400128,22.8956484481254,22.444466799806637,45.34011524793203,721.8906373100173,676.5505220620853,target
2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,SHORT,downtrend_breakdown,14.57522612,14.288006714079279,2733.8617026406414,5.0,7969.330499359109,24.904157810497217,24.413396476683555,49.31755428718077,785.2181341018569,735.9005798146761,target
2021-04-03 16:30:00+00:00,2021-04-03 17:30:00+00:00,SHORT,downtrend_breakdown,21.37988411,20.958572113728337,2027.241121977965,5.0,8668.436050183052,27.08886265682204,26.555049529306704,53.643912186128745,854.1010040245399,800.4570918384111,target
2021-05-23 17:00:00+00:00,2021-05-23 17:00:00+00:00,SHORT,downtrend_breakdown,21.5215416,23.5030488,2190.56572774265,5.0,9428.870287429541,29.465219648217317,32.17810824921438,61.6433278974317,-4340.621761595299,-4402.265089492731,stop_loss
2021-06-12 00:00:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,36.1461529,35.4338568109526,725.764435696205,5.0,5246.718452411448,16.395995163785777,16.072895683088216,32.46889084687399,516.9591691160994,484.49027826922537,target
2021-06-23 16:30:00+00:00,2021-06-23 17:00:00+00:00,SHORT,downtrend_breakdown,30.0899703,29.497017345268198,948.3200149199237,5.0,5706.984216767212,17.834325677397537,17.48288245559874,35.31720813299628,562.3091548780766,526.9919467450803,target
2021-07-12 19:00:00+00:00,2021-07-13 12:30:00+00:00,SHORT,downtrend_breakdown,30.2189316,29.6234373338904,1027.108874718628,5.0,6207.626566175038,19.398833019296994,19.016559615818725,38.41539263511572,611.637445565227,573.2220529301113,target
